Page 1: P72572A (bbox: (36.20020294189453, 770.0149536132812, 110.38021087646484, 794.054931640625), font: MyriadPro-Regular, size: 20.0)
Page 8: relative mass (bbox: (154.68910217285156, 143.5122528076172, 224.8939208984375, 158.3802490234375), font: MyriadPro-Bold, size: 12.0)
Page 8: charge (bbox: (253.7010955810547, 143.5122528076172, 290.30108642578125, 158.3802490234375), font: MyriadPro-Bold, size: 12.0)
Page 8: 0 (bbox: (186.71710205078125, 167.9562530517578, 192.87310791015625, 182.3802490234375), font: MyriadPro-Regular, size: 12.0)
Page 8: +1 (bbox: (265.34112548828125, 167.9562530517578, 278.64910888671875, 182.3802490234375), font: MyriadPro-Regular, size: 12.0)
Page 8: 0 (bbox: (186.7171173095703, 191.9562530517578, 192.8731231689453, 206.3802490234375), font: MyriadPro-Regular, size: 12.0)
Page 8: –1 (bbox: (265.9171142578125, 191.9562530517578, 278.0731201171875, 206.3802490234375), font: MyriadPro-Regular, size: 12.0)
Page 8: 1 (bbox: (186.71710205078125, 215.9562530517578, 192.87310791015625, 230.3802490234375), font: MyriadPro-Regular, size: 12.0)
Page 8: +1 (bbox: (265.34112548828125, 215.9562530517578, 278.64910888671875, 230.3802490234375), font: MyriadPro-Regular, size: 12.0)
Page 8: 1 (bbox: (186.7171173095703, 239.9562530517578, 192.8731231689453, 254.3802490234375), font: MyriadPro-Regular, size: 12.0)
Page 8: –1 (bbox: (265.9171142578125, 239.9562530517578, 278.0731201171875, 254.3802490234375), font: MyriadPro-Regular, size: 12.0)
Page 8:  (bbox: (42.513099670410156, 283.98419189453125, 45.057098388671875, 298.408203125), font: MyriadPro-Regular, size: 12.0)
Page 8:  (bbox: (60.93309783935547, 283.98419189453125, 63.47709655761719, 298.408203125), font: MyriadPro-Regular, size: 12.0)
Page 8: (ii)	 An atom has a radius of 1.0 × 10 (bbox: (78.08110046386719, 283.98419189453125, 258.2731628417969, 298.40826416015625), font: MyriadPro-Regular, size: 12.0)
Page 8: –10 (bbox: (258.29931640625, 283.3452453613281, 268.9751892089844, 291.7544250488281), font: MyriadPro-Regular, size: 6.995999813079834)
Page 8: m. (bbox: (268.9749755859375, 283.98138427734375, 285.51092529296875, 298.4053955078125), font: MyriadPro-Regular, size: 12.0)
Page 8:  (bbox: (42.52300262451172, 307.9573974609375, 45.06700134277344, 322.38140869140625), font: MyriadPro-Regular, size: 12.0)
Page 8:  (bbox: (60.94300079345703, 307.9573974609375, 63.48699951171875, 322.38140869140625), font: MyriadPro-Regular, size: 12.0)
Page 8: A nucleus has a radius of 1.0 × 10 (bbox: (90.51100158691406, 307.9573974609375, 264.2830810546875, 322.38140869140625), font: MyriadPro-Regular, size: 12.0)
Page 8: –15 (bbox: (264.29888916015625, 307.3232116699219, 274.9748229980469, 315.7323913574219), font: MyriadPro-Regular, size: 6.995999813079834)
Page 8: m. (bbox: (274.974609375, 307.95941162109375, 288.96649169921875, 322.3834228515625), font: MyriadPro-Regular, size: 12.0)
Page 8:  (bbox: (42.52259826660156, 331.9354248046875, 45.06659698486328, 346.35943603515625), font: MyriadPro-Regular, size: 12.0)
Page 8:  (bbox: (60.942596435546875, 331.9354248046875, 63.486595153808594, 346.35943603515625), font: MyriadPro-Regular, size: 12.0)
Page 8: Calculate the ratio of the radius of the atom to the radius of the nucleus. (bbox: (90.51060485839844, 331.9354248046875, 458.4658203125, 346.35943603515625), font: MyriadPro-Regular, size: 12.0)
Page 8: (2) (bbox: (495.79864501953125, 345.4954528808594, 510.23468017578125, 360.36346435546875), font: MyriadPro-Bold, size: 12.0)
Page 8: ratio of radius of atom to radius of nucleus = (bbox: (214.02662658691406, 472.2874755859375, 438.883056640625, 486.71148681640625), font: MyriadPro-Regular, size: 12.0)
Page 8:  (bbox: (42.51909637451172, 500.45611572265625, 45.06309509277344, 514.880126953125), font: MyriadPro-Regular, size: 12.0)
Page 8:  (bbox: (60.94389343261719, 500.45611572265625, 63.487892150878906, 514.880126953125), font: MyriadPro-Regular, size: 12.0)
Page 8: (iii)	 Explain why an atom has no charge overall. (bbox: (75.27909851074219, 500.45611572265625, 314.05401611328125, 514.880126953125), font: MyriadPro-Regular, size: 12.0)
Page 8: (2) (bbox: (495.79510498046875, 514.0161743164062, 510.23114013671875, 528.8841552734375), font: MyriadPro-Bold, size: 12.0)
Page 9:  (bbox: (42.51909637451172, 59.9379997253418, 45.06309509277344, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 9: (b)	 One isotope of carbon is carbon-14. (bbox: (59.90709686279297, 59.9379997253418, 258.31512451171875, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 9: 14 (bbox: (284.85107421875, 92.65958404541016, 298.0105895996094, 108.07643127441406), font: MyriadPro-Regular, size: 12.826000213623047)
Page 9: 6 (bbox: (291.08453369140625, 105.8575210571289, 297.6642761230469, 121.27436828613281), font: MyriadPro-Regular, size: 12.826000213623047)
Page 9: C (bbox: (297.6636962890625, 93.82589721679688, 310.4237060546875, 120.2698974609375), font: MyriadPro-Regular, size: 22.0)
Page 9:  (bbox: (42.519203186035156, 131.57582092285156, 45.063201904296875, 145.99981689453125), font: MyriadPro-Regular, size: 12.0)
Page 9:  (bbox: (60.944000244140625, 131.57582092285156, 63.487998962402344, 145.99981689453125), font: MyriadPro-Regular, size: 12.0)
Page 9: (i)	 State the number of protons in one atom of carbon-14. (bbox: (80.89520263671875, 131.57582092285156, 373.09539794921875, 145.99981689453125), font: MyriadPro-Regular, size: 12.0)
Page 9: (1) (bbox: (495.79522705078125, 145.13584899902344, 510.23126220703125, 160.00384521484375), font: MyriadPro-Bold, size: 12.0)
Page 9: number of protons = (bbox: (331.55120849609375, 173.75587463378906, 438.891357421875, 188.17987060546875), font: MyriadPro-Regular, size: 12.0)
Page 9:  (bbox: (42.519203186035156, 197.72694396972656, 45.063201904296875, 212.15093994140625), font: MyriadPro-Regular, size: 12.0)
Page 9:  (bbox: (60.944000244140625, 197.72694396972656, 63.487998962402344, 212.15093994140625), font: MyriadPro-Regular, size: 12.0)
Page 9: (ii)	 State the number of neutrons in one atom of carbon-14. (bbox: (78.08719635009766, 197.72694396972656, 379.03546142578125, 212.15093994140625), font: MyriadPro-Regular, size: 12.0)
Page 9: (1) (bbox: (495.79522705078125, 211.28697204589844, 510.23126220703125, 226.15496826171875), font: MyriadPro-Bold, size: 12.0)
Page 9: number of neutrons = (bbox: (325.6112060546875, 239.90699768066406, 438.891357421875, 254.33099365234375), font: MyriadPro-Regular, size: 12.0)
Page 9:  (bbox: (42.519203186035156, 263.87823486328125, 45.063201904296875, 278.30224609375), font: MyriadPro-Regular, size: 12.0)
Page 9:  (bbox: (60.944000244140625, 263.87823486328125, 63.487998962402344, 278.30224609375), font: MyriadPro-Regular, size: 12.0)
Page 9: (iii)	 Figure 6 shows a graph for the decay of the radioactive isotope carbon-14. (bbox: (75.2791976928711, 263.87823486328125, 469.42919921875, 278.30224609375), font: MyriadPro-Regular, size: 12.0)
Page 9: 20 000 (bbox: (428.918701171875, 507.95135498046875, 461.1986083984375, 522.3753662109375), font: MyriadPro-Regular, size: 12.0)
Page 9: 15 000 (bbox: (372.2305908203125, 507.95135498046875, 404.5107421875, 522.3753662109375), font: MyriadPro-Regular, size: 12.0)
Page 9: 10 000 (bbox: (315.542724609375, 507.95135498046875, 347.82269287109375, 522.3753662109375), font: MyriadPro-Regular, size: 12.0)
Page 9: 5000 (bbox: (262.68267822265625, 507.95135498046875, 287.30670166015625, 522.3753662109375), font: MyriadPro-Regular, size: 12.0)
Page 9: 0 (bbox: (215.2227020263672, 507.95135498046875, 221.3787078857422, 522.3753662109375), font: MyriadPro-Regular, size: 12.0)
Page 9: 35 (bbox: (195.90269470214844, 295.11932373046875, 208.21470642089844, 309.5433349609375), font: MyriadPro-Regular, size: 12.0)
Page 9: 30 (bbox: (195.90269470214844, 323.41534423828125, 208.21470642089844, 337.83935546875), font: MyriadPro-Regular, size: 12.0)
Page 9: 25 (bbox: (195.90269470214844, 351.7113342285156, 208.21470642089844, 366.1353454589844), font: MyriadPro-Regular, size: 12.0)
Page 9: 20 (bbox: (195.90269470214844, 380.00732421875, 208.21470642089844, 394.43133544921875), font: MyriadPro-Regular, size: 12.0)
Page 9: 15 (bbox: (195.90269470214844, 408.3033142089844, 208.21470642089844, 422.7273254394531), font: MyriadPro-Regular, size: 12.0)
Page 9: 10 (bbox: (195.90269470214844, 436.59930419921875, 208.21470642089844, 451.0233154296875), font: MyriadPro-Regular, size: 12.0)
Page 9: 5 (bbox: (202.05870056152344, 464.8952941894531, 208.21470642089844, 479.3193054199219), font: MyriadPro-Regular, size: 12.0)
Page 9: 0 (bbox: (202.05870056152344, 493.1912841796875, 208.21470642089844, 507.61529541015625), font: MyriadPro-Regular, size: 12.0)
Page 9: time in years (bbox: (299.4866943359375, 531.4712524414062, 363.3507080078125, 545.8953247070312), font: MyriadPro-Regular, size: 12.0)
Page 9: count rate (bbox: (132.3746795654297, 339.68731689453125, 186.31466674804688, 354.111328125), font: MyriadPro-Regular, size: 12.0)
Page 9: in counts (bbox: (132.3746795654297, 353.6913146972656, 181.02268981933594, 368.1153259277344), font: MyriadPro-Regular, size: 12.0)
Page 9: per minute (bbox: (132.3746795654297, 367.6953125, 187.9334716796875, 382.11932373046875), font: MyriadPro-Regular, size: 12.0)
Page 9: Figure 6 (bbox: (276.01470947265625, 555.42333984375, 319.2867126464844, 570.2913208007812), font: MyriadPro-Bold, size: 12.0)
Page 9:  (bbox: (42.53070068359375, 584.1033325195312, 45.07469940185547, 598.52734375), font: MyriadPro-Regular, size: 12.0)
Page 9:  (bbox: (60.95069885253906, 584.1033325195312, 63.49469757080078, 598.52734375), font: MyriadPro-Regular, size: 12.0)
Page 9: Use the graph to estimate the half-life of carbon-14. (bbox: (90.51866149902344, 584.1033325195312, 356.61761474609375, 598.52734375), font: MyriadPro-Regular, size: 12.0)
Page 9: (2) (bbox: (495.80670166015625, 597.6633911132812, 510.24273681640625, 612.5313720703125), font: MyriadPro-Bold, size: 12.0)
Page 9: half-life = (bbox: (359.54669189453125, 626.2833251953125, 409.502685546875, 640.7073364257812), font: MyriadPro-Regular, size: 12.0)
Page 9: .............................................................. (bbox: (409.75482177734375, 631.9956665039062, 523.3588256835938, 639.2076416015625), font: MyriadPro-Regular, size: 6.0)
Page 9: (Total for Question 4 = 9 marks) (bbox: (342.201416015625, 649.8156127929688, 510.22430419921875, 664.68359375), font: MyriadPro-Bold, size: 12.0)
Page 10: BLANK PAGE (bbox: (262.772216796875, 416.4940185546875, 332.5018615722656, 431.3620300292969), font: MyriadPro-Bold, size: 12.0)
Page 11: 5 (bbox: (42.51909637451172, 59.49399948120117, 49.17909622192383, 74.36199951171875), font: MyriadPro-Bold, size: 12.0)
Page 11: (a)	 Figure 7 shows a wave on the surface of water. (bbox: (49.179100036621094, 59.9379997253418, 311.952880859375, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 11: direction of travel of wave (bbox: (152.12539672851562, 85.51124572753906, 282.6014709472656, 99.93524169921875), font: MyriadPro-Regular, size: 12.0)
Page 11: A (bbox: (205.34539794921875, 157.87123107910156, 212.68939208984375, 172.29522705078125), font: MyriadPro-Regular, size: 12.0)
Page 11: B (bbox: (264.8173828125, 138.5392608642578, 271.3213806152344, 152.9632568359375), font: MyriadPro-Regular, size: 12.0)
Page 11: C (bbox: (306.109375, 173.57923889160156, 313.0693664550781, 188.00323486328125), font: MyriadPro-Regular, size: 12.0)
Page 11: D (bbox: (398.96539306640625, 118.16322326660156, 406.9573974609375, 132.58721923828125), font: MyriadPro-Regular, size: 12.0)
Page 11: Figure 7 (bbox: (276.00140380859375, 239.68724060058594, 319.2734069824219, 254.55523681640625), font: MyriadPro-Bold, size: 12.0)
Page 11:  (bbox: (42.51740264892578, 268.355224609375, 45.0614013671875, 282.77923583984375), font: MyriadPro-Regular, size: 12.0)
Page 11:  (bbox: (60.937400817871094, 268.355224609375, 63.48139953613281, 282.77923583984375), font: MyriadPro-Regular, size: 12.0)
Page 11: (i)	 Which of the arrowed lines shows the amplitude of the wave? (bbox: (80.89340209960938, 268.355224609375, 406.1416015625, 282.77923583984375), font: MyriadPro-Regular, size: 12.0)
Page 11: (1) (bbox: (495.79339599609375, 281.9152526855469, 510.22943115234375, 296.78326416015625), font: MyriadPro-Bold, size: 12.0)
Page 11:  (bbox: (102.9320068359375, 299.7170104980469, 105.35601043701172, 314.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 11: A (bbox: (120.04400634765625, 299.7170104980469, 130.33999633789062, 314.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 11:  (bbox: (102.9320068359375, 323.7170104980469, 105.35601043701172, 338.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 11: B (bbox: (120.04400634765625, 323.7170104980469, 129.71600341796875, 338.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 11:  (bbox: (102.9320068359375, 347.7170104980469, 105.35601043701172, 362.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 11: C (bbox: (120.04400634765625, 347.7170104980469, 129.60800170898438, 362.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 11:  (bbox: (102.9320068359375, 371.7170104980469, 105.35601043701172, 386.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 11: D (bbox: (120.04400634765625, 371.7170104980469, 130.8199920654297, 386.58502197265625), font: MyriadPro-Bold, size: 12.0)
Page 11:  (bbox: (42.52399444580078, 415.9850158691406, 45.0679931640625, 430.4090270996094), font: MyriadPro-Regular, size: 12.0)
Page 11:  (bbox: (60.943992614746094, 415.9850158691406, 63.48799133300781, 430.4090270996094), font: MyriadPro-Regular, size: 12.0)
Page 11: (ii)	 Explain why the wave shown in Figure 7 is a transverse wave. (bbox: (78.09200286865234, 415.9850158691406, 402.403076171875, 430.4090270996094), font: MyriadPro-Regular, size: 12.0)
Page 11: (2) (bbox: (495.79998779296875, 429.5450134277344, 510.23602294921875, 444.41302490234375), font: MyriadPro-Bold, size: 12.0)
Page 12:  (bbox: (42.51909637451172, 59.9379997253418, 45.06309509277344, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 12: (b)	 Figure 8 shows a ripple tank. (bbox: (59.90709686279297, 59.9379997253418, 222.16873168945312, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 12:  (bbox: (42.51909637451172, 83.91401672363281, 45.06309509277344, 98.3380126953125), font: MyriadPro-Regular, size: 12.0)
Page 12: A screen is placed below the ripple tank. (bbox: (73.51509094238281, 83.91401672363281, 281.61798095703125, 98.3380126953125), font: MyriadPro-Regular, size: 12.0)
Page 12:  (bbox: (42.51909637451172, 107.89002990722656, 45.06309509277344, 122.31402587890625), font: MyriadPro-Regular, size: 12.0)
Page 12: The wave pattern produced by the ripples can be seen on the screen. (bbox: (73.51509094238281, 107.89002990722656, 425.5341796875, 122.31402587890625), font: MyriadPro-Regular, size: 12.0)
Page 12: lamp (bbox: (336.41278076171875, 133.68763732910156, 361.86480712890625, 148.11163330078125), font: MyriadPro-Regular, size: 12.0)
Page 12: vibrating bar (bbox: (117.41279602050781, 284.8035888671875, 181.9008026123047, 299.22760009765625), font: MyriadPro-Regular, size: 12.0)
Page 12: wave pattern on screen (bbox: (92.14079284667969, 345.1876220703125, 209.60760498046875, 359.61163330078125), font: MyriadPro-Regular, size: 12.0)
Page 12: ripple tank with water (bbox: (392.80078125, 163.68763732910156, 503.13983154296875, 178.11163330078125), font: MyriadPro-Regular, size: 12.0)
Page 12: Figure 8 (bbox: (276.00152587890625, 374.292724609375, 319.2735290527344, 389.1607360839844), font: MyriadPro-Bold, size: 12.0)
Page 12:  (bbox: (42.51750183105469, 402.9607238769531, 45.061500549316406, 417.3847351074219), font: MyriadPro-Regular, size: 12.0)
Page 12: A student has a stop clock and a ruler. (bbox: (73.51350402832031, 402.9607238769531, 268.777587890625, 417.3847351074219), font: MyriadPro-Regular, size: 12.0)
Page 12:  (bbox: (42.51750183105469, 426.93670654296875, 45.061500549316406, 441.3607177734375), font: MyriadPro-Regular, size: 12.0)
Page 12:  (bbox: (60.9375, 426.93670654296875, 63.48149871826172, 441.3607177734375), font: MyriadPro-Regular, size: 12.0)
Page 12: (i)	 Describe how the student could measure the frequency of the ripples. (bbox: (80.89350128173828, 426.93670654296875, 448.3458251953125, 441.3607177734375), font: MyriadPro-Regular, size: 12.0)
Page 12: (2) (bbox: (495.79351806640625, 440.4967041015625, 510.22955322265625, 455.3647155761719), font: MyriadPro-Bold, size: 12.0)
Page 12:  (bbox: (42.51909637451172, 581.8108520507812, 45.06309509277344, 596.23486328125), font: MyriadPro-Regular, size: 12.0)
Page 12:  (bbox: (60.94389343261719, 581.8108520507812, 63.487892150878906, 596.23486328125), font: MyriadPro-Regular, size: 12.0)
Page 12: (ii)	 Describe how the student could measure the wavelength of the ripples. (bbox: (78.08709716796875, 581.8108520507812, 456.72222900390625, 596.23486328125), font: MyriadPro-Regular, size: 12.0)
Page 12: (2) (bbox: (495.79510498046875, 595.370849609375, 510.23114013671875, 610.2388305664062), font: MyriadPro-Bold, size: 12.0)
Page 13:  (bbox: (42.51909637451172, 59.9379997253418, 45.06309509277344, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 13: (c)	 In a swimming pool, a wave is produced with a wavelength of 4.0 m and a velocity (bbox: (61.323097229003906, 59.9379997253418, 492.6871337890625, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 13: of 0.8 m / s. (bbox: (79.37113952636719, 73.94203186035156, 132.7830810546875, 88.36602783203125), font: MyriadPro-Regular, size: 12.0)
Page 13:  (bbox: (42.51909637451172, 97.91804504394531, 45.06309509277344, 112.342041015625), font: MyriadPro-Regular, size: 12.0)
Page 13: Calculate the frequency of the wave. (bbox: (73.51509094238281, 97.91798400878906, 261.77105712890625, 112.342041015625), font: MyriadPro-Regular, size: 12.0)
Page 13:  (bbox: (42.51909637451172, 121.89399719238281, 45.06309509277344, 136.3179931640625), font: MyriadPro-Regular, size: 12.0)
Page 13: State the unit of frequency. (bbox: (73.51509094238281, 121.89399719238281, 215.46310424804688, 136.3179931640625), font: MyriadPro-Regular, size: 12.0)
Page 13: (3) (bbox: (495.80706787109375, 135.4540252685547, 510.24310302734375, 150.322021484375), font: MyriadPro-Bold, size: 12.0)
Page 13:  (bbox: (42.531097412109375, 159.87403869628906, 45.075096130371094, 174.29803466796875), font: MyriadPro-Regular, size: 12.0)
Page 13: Use the equation (bbox: (73.527099609375, 159.87403869628906, 167.76309204101562, 174.29803466796875), font: MyriadPro-Regular, size: 12.0)
Page 13: v (bbox: (278.37908935546875, 184.24600219726562, 283.8390808105469, 198.6820068359375), font: MyriadPro-It, size: 12.0)
Page 13: = (bbox: (283.83905029296875, 184.2580108642578, 296.0791015625, 198.6820068359375), font: MyriadPro-Regular, size: 12.0)
Page 13: f (bbox: (296.0791015625, 184.24600219726562, 299.47509765625, 198.6820068359375), font: MyriadPro-It, size: 12.0)
Page 13: × (bbox: (299.47509765625, 184.2580108642578, 311.715087890625, 198.6820068359375), font: MyriadPro-Regular, size: 12.0)
Page 13: λ (bbox: (311.715087890625, 183.406005859375, 316.9111022949219, 199.3660125732422), font: TimesNewRomanPS-ItalicMT, size: 12.0)
Page 13: frequency of wave (bbox: (261.195068359375, 366.42999267578125, 356.1619873046875, 380.85400390625), font: MyriadPro-Regular, size: 12.0)
Page 13: .............................................................. (bbox: (356.40911865234375, 372.135009765625, 470.01373291015625, 379.3470153808594), font: MyriadPro-Regular, size: 6.0)
Page 13: unit (bbox: (470.60772705078125, 366.4230041503906, 495.99969482421875, 380.8470153808594), font: MyriadPro-Regular, size: 12.0)
Page 13: (Total for Question 5 = 10 marks) (bbox: (335.539794921875, 389.9570007324219, 510.22271728515625, 404.82501220703125), font: MyriadPro-Bold, size: 12.0)
Page 14: 6 (bbox: (42.51909637451172, 59.49399948120117, 49.17909622192383, 74.36199951171875), font: MyriadPro-Bold, size: 12.0)
Page 14: (a)	 Figure 9 shows a metal cube filled with hot water. (bbox: (49.179100036621094, 59.9379997253418, 327.264892578125, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 14: thermal energy (bbox: (200.2595977783203, 140.9285430908203, 279.71044921875, 155.3525390625), font: MyriadPro-Regular, size: 12.0)
Page 14: detector (bbox: (200.2595977783203, 154.9325714111328, 242.8956298828125, 169.3565673828125), font: MyriadPro-Regular, size: 12.0)
Page 14: matt white (bbox: (265.31158447265625, 115.99256896972656, 320.0064392089844, 130.41656494140625), font: MyriadPro-Regular, size: 12.0)
Page 14: shiny white (bbox: (322.85162353515625, 93.31257629394531, 380.2344665527344, 107.736572265625), font: MyriadPro-Regular, size: 12.0)
Page 14: wooden block (bbox: (451.53961181640625, 214.35658264160156, 522.9155883789062, 228.78057861328125), font: MyriadPro-Regular, size: 12.0)
Page 14: metal cube (bbox: (395.12762451171875, 85.52455139160156, 453.90362548828125, 99.94854736328125), font: MyriadPro-Regular, size: 12.0)
Page 14: containing hot water (bbox: (395.12762451171875, 99.52857971191406, 500.1998291015625, 113.95257568359375), font: MyriadPro-Regular, size: 12.0)
Page 14: shiny black (bbox: (445.19158935546875, 131.02857971191406, 500.8116455078125, 145.45257568359375), font: MyriadPro-Regular, size: 12.0)
Page 14: matt black (bbox: (445.19158935546875, 162.20460510253906, 498.1236572265625, 176.62860107421875), font: MyriadPro-Regular, size: 12.0)
Page 14: millivoltmeter (bbox: (69.42359924316406, 273.26458740234375, 139.61038208007812, 287.6885986328125), font: MyriadPro-Regular, size: 12.0)
Page 14: Figure 9 (bbox: (276.00140380859375, 297.1867980957031, 319.2734069824219, 312.0548095703125), font: MyriadPro-Bold, size: 12.0)
Page 14:  (bbox: (42.51740264892578, 325.8668212890625, 45.0614013671875, 340.29083251953125), font: MyriadPro-Regular, size: 12.0)
Page 14: Four sides of the cube have different surfaces, as shown in Figure 9. (bbox: (73.51339721679688, 325.8668212890625, 415.910888671875, 340.29083251953125), font: MyriadPro-Regular, size: 12.0)
Page 14:  (bbox: (42.51740264892578, 349.8428039550781, 45.0614013671875, 364.2668151855469), font: MyriadPro-Regular, size: 12.0)
Page 14: The four surfaces are at the same temperature. (bbox: (73.51339721679688, 349.8428039550781, 312.57623291015625, 364.2668151855469), font: MyriadPro-Regular, size: 12.0)
Page 14:  (bbox: (42.51740264892578, 373.8188171386719, 45.0614013671875, 388.2428283691406), font: MyriadPro-Regular, size: 12.0)
Page 14: The thermal energy radiated by each side of the box is measured using a thermal (bbox: (73.51339721679688, 373.81878662109375, 487.34454345703125, 388.2428283691406), font: MyriadPro-Regular, size: 12.0)
Page 14: energy detector connected to a millivoltmeter. (bbox: (79.369384765625, 387.8227844238281, 312.59912109375, 402.2467956542969), font: MyriadPro-Regular, size: 12.0)
Page 14:  (bbox: (42.51740264892578, 411.7987976074219, 45.0614013671875, 426.2228088378906), font: MyriadPro-Regular, size: 12.0)
Page 14: The detector is moved to get a reading of the thermal energy emitted from each (bbox: (73.51339721679688, 411.7987976074219, 484.31927490234375, 426.2228088378906), font: MyriadPro-Regular, size: 12.0)
Page 14: side of the box. (bbox: (79.369384765625, 425.80279541015625, 156.1213836669922, 440.226806640625), font: MyriadPro-Regular, size: 12.0)
Page 14:  (bbox: (42.51740264892578, 449.77880859375, 45.0614013671875, 464.20281982421875), font: MyriadPro-Regular, size: 12.0)
Page 14: Figure 10 shows the table of results. (bbox: (73.51339721679688, 449.77880859375, 258.61346435546875, 464.20281982421875), font: MyriadPro-Regular, size: 12.0)
Page 14: type of surface (bbox: (191.2534942626953, 490.2538146972656, 271.01751708984375, 505.121826171875), font: MyriadPro-Bold, size: 12.0)
Page 14: millivoltmeter reading (bbox: (303.885498046875, 483.2578125, 426.80023193359375, 498.1258239746094), font: MyriadPro-Bold, size: 12.0)
Page 14: in mV (bbox: (347.32550048828125, 497.2618103027344, 380.9255065917969, 512.1298217773438), font: MyriadPro-Bold, size: 12.0)
Page 14: matt white (bbox: (203.78147888183594, 522.3778076171875, 258.476318359375, 536.8018188476562), font: MyriadPro-Regular, size: 12.0)
Page 14: 32 (bbox: (357.969482421875, 522.3778076171875, 370.281494140625, 536.8018188476562), font: MyriadPro-Regular, size: 12.0)
Page 14: shiny white (bbox: (202.4374542236328, 550.7218017578125, 259.8203125, 565.1458129882812), font: MyriadPro-Regular, size: 12.0)
Page 14: 20 (bbox: (357.969482421875, 550.7218017578125, 370.281494140625, 565.1458129882812), font: MyriadPro-Regular, size: 12.0)
Page 14: shiny black (bbox: (203.3134765625, 579.0657958984375, 258.9335021972656, 593.4898071289062), font: MyriadPro-Regular, size: 12.0)
Page 14: matt black (bbox: (204.657470703125, 607.4097900390625, 257.5895080566406, 621.8338012695312), font: MyriadPro-Regular, size: 12.0)
Page 14: 55 (bbox: (357.969482421875, 607.4097900390625, 370.281494140625, 621.8338012695312), font: MyriadPro-Regular, size: 12.0)
Page 14: Figure 10 (bbox: (272.6614990234375, 644.3458251953125, 322.5934753417969, 659.2138061523438), font: MyriadPro-Bold, size: 12.0)
Page 14:  (bbox: (42.51349639892578, 673.0137939453125, 45.0574951171875, 687.4378051757812), font: MyriadPro-Regular, size: 12.0)
Page 14:  (bbox: (60.933494567871094, 673.0137939453125, 63.47749328613281, 687.4378051757812), font: MyriadPro-Regular, size: 12.0)
Page 14: (i)	 Suggest a possible millivoltmeter reading for the shiny black surface. (bbox: (80.8895034790039, 673.0137939453125, 441.4656982421875, 687.4378051757812), font: MyriadPro-Regular, size: 12.0)
Page 14: (1) (bbox: (495.78948974609375, 686.5738525390625, 510.22552490234375, 701.4418334960938), font: MyriadPro-Bold, size: 12.0)
Page 14: ............................................................................................................................ (bbox: (304.85589599609375, 720.9114379882812, 532.6644287109375, 728.1234130859375), font: MyriadPro-Regular, size: 6.0)
Page 15:  (bbox: (42.51909637451172, 59.9379997253418, 45.06309509277344, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 15:  (bbox: (60.94389343261719, 59.9379997253418, 63.487892150878906, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 15: (ii)	 State what must be kept the same to take the measurement for each surface. (bbox: (78.08709716796875, 59.9379997253418, 483.0633544921875, 74.36199951171875), font: MyriadPro-Regular, size: 12.0)
Page 15: (1) (bbox: (495.79510498046875, 73.49803161621094, 510.23114013671875, 88.36602783203125), font: MyriadPro-Bold, size: 12.0)
Page 15:  (bbox: (42.51909637451172, 158.45765686035156, 45.06309509277344, 172.88165283203125), font: MyriadPro-Regular, size: 12.0)
Page 15:  (bbox: (60.94389343261719, 158.45765686035156, 63.487892150878906, 172.88165283203125), font: MyriadPro-Regular, size: 12.0)
Page 15: (iii)	 Suggest why the cube is placed on a block of wood. (bbox: (75.27909851074219, 158.45765686035156, 357.37530517578125, 172.88165283203125), font: MyriadPro-Regular, size: 12.0)
Page 15: (1) (bbox: (495.79510498046875, 172.01768493652344, 510.23114013671875, 186.88568115234375), font: MyriadPro-Bold, size: 12.0)
Page 15:  (bbox: (42.51909637451172, 256.977294921875, 45.06309509277344, 271.40130615234375), font: MyriadPro-Regular, size: 12.0)
Page 15: (b)	 A hot surface emits radiation of different wavelengths. (bbox: (59.90709686279297, 256.977294921875, 351.31396484375, 271.40130615234375), font: MyriadPro-Regular, size: 12.0)
Page 15:  (bbox: (42.51909637451172, 280.95330810546875, 45.06309509277344, 295.3773193359375), font: MyriadPro-Regular, size: 12.0)
Page 15: The graph in Figure 11 shows how the intensity of the radiation emitted changes (bbox: (73.51509094238281, 280.95330810546875, 486.3515625, 295.3773193359375), font: MyriadPro-Regular, size: 12.0)
